Time [S]	Voltage [V]	Current [A]	
#Sweep: 000
1.530E+0	2.013E-2	-2.006E-11	
1.825E+0	6.038E-2	5.346E-12	
2.119E+0	1.006E-1	8.793E-12	
2.424E+0	1.409E-1	8.124E-12	
2.758E+0	1.811E-1	7.643E-12	
3.033E+0	2.214E-1	1.280E-11	
3.319E+0	2.616E-1	9.100E-12	
3.619E+0	3.019E-1	8.601E-12	
3.926E+0	3.421E-1	7.669E-12	
4.229E+0	3.824E-1	8.329E-12	
4.528E+0	4.226E-1	6.166E-12	
4.823E+0	4.629E-1	1.068E-11	
5.125E+0	5.031E-1	5.620E-12	
5.419E+0	5.434E-1	7.536E-12	
5.724E+0	5.836E-1	7.901E-12	
6.028E+0	6.239E-1	9.449E-12	
6.327E+0	6.642E-1	2.913E-13	
6.620E+0	7.044E-1	-2.915E-11	
6.961E+0	7.447E-1	8.017E-12	
7.219E+0	7.849E-1	1.191E-11	
7.529E+0	8.252E-1	7.874E-12	
7.819E+0	8.654E-1	1.041E-11	
8.129E+0	9.057E-1	8.492E-12	
8.419E+0	9.459E-1	9.722E-12	
8.746E+0	9.862E-1	7.214E-12	
9.047E+0	1.026E+0	1.355E-11	
9.323E+0	1.067E+0	1.163E-11	
9.670E+0	1.107E+0	5.893E-12	
9.984E+0	1.147E+0	1.778E-11	
1.023E+1	1.187E+0	2.256E-11	
1.053E+1	1.228E+0	1.276E-11	
1.082E+1	1.268E+0	1.150E-11	
1.113E+1	1.308E+0	1.109E-11	
1.142E+1	1.348E+0	1.259E-11	
1.179E+1	1.389E+0	9.353E-12	
1.232E+1	1.429E+0	1.388E-12	
1.264E+1	1.469E+0	8.219E-12	
1.292E+1	1.509E+0	1.327E-11	
1.322E+1	1.550E+0	1.095E-11	
1.359E+1	1.590E+0	7.806E-12	
1.383E+1	1.630E+0	1.614E-11	
1.413E+1	1.670E+0	1.273E-11	
1.442E+1	1.711E+0	1.327E-11	
1.473E+1	1.751E+0	1.436E-11	
1.502E+1	1.791E+0	1.478E-11	
1.532E+1	1.831E+0	1.532E-11	
1.567E+1	1.872E+0	1.204E-11	
1.592E+1	1.912E+0	1.765E-11	
1.622E+1	1.952E+0	1.423E-11	
1.655E+1	1.992E+0	1.483E-11	
1.683E+1	2.033E+0	2.311E-11	
1.712E+1	2.073E+0	1.314E-11	
1.743E+1	2.113E+0	1.819E-11	
1.773E+1	2.153E+0	2.023E-11	
1.803E+1	2.194E+0	2.229E-11	
1.833E+1	2.234E+0	2.748E-11	
1.862E+1	2.274E+0	2.709E-11	
1.892E+1	2.314E+0	3.621E-11	
1.923E+1	2.355E+0	3.185E-11	
1.953E+1	2.395E+0	3.664E-11	
1.982E+1	2.435E+0	3.978E-11	
2.014E+1	2.475E+0	4.429E-11	
2.043E+1	2.516E+0	5.595E-11	
2.074E+1	2.556E+0	6.472E-11	
2.164E+1	2.596E+0	7.186E-10	
2.211E+1	2.636E+0	9.303E-10	
2.253E+1	2.677E+0	1.094E-9	
2.282E+1	2.717E+0	1.952E-9	
2.313E+1	2.757E+0	1.680E-9	
2.342E+1	2.797E+0	2.045E-9	
2.373E+1	2.838E+0	2.112E-9	
2.412E+1	2.878E+0	2.472E-9	
2.435E+1	2.918E+0	2.817E-9	
2.462E+1	2.958E+0	3.133E-9	
2.492E+1	2.999E+0	4.471E-9	
2.523E+1	3.039E+0	5.744E-9	
2.552E+1	3.079E+0	6.271E-9	
2.582E+1	3.119E+0	8.194E-9	
2.627E+1	3.160E+0	1.752E-8	
2.644E+1	3.200E+0	1.888E-8	
#Sweep: 001
2.672E+1	3.200E+0	1.963E-8	
2.702E+1	3.160E+0	2.263E-8	
2.732E+1	3.119E+0	1.817E-8	
2.764E+1	3.079E+0	1.771E-8	
2.795E+1	3.039E+0	1.671E-8	
2.822E+1	2.999E+0	1.562E-8	
2.852E+1	2.958E+0	1.877E-8	
2.882E+1	2.918E+0	1.447E-8	
2.912E+1	2.878E+0	1.315E-8	
2.943E+1	2.838E+0	1.081E-8	
2.972E+1	2.797E+0	1.060E-8	
3.016E+1	2.757E+0	6.778E-9	
3.032E+1	2.717E+0	6.453E-9	
3.062E+1	2.677E+0	6.172E-9	
3.092E+1	2.636E+0	5.925E-9	
3.122E+1	2.596E+0	5.326E-9	
3.155E+1	2.556E+0	5.107E-9	
3.182E+1	2.516E+0	4.726E-9	
3.213E+1	2.475E+0	4.314E-9	
3.243E+1	2.435E+0	3.825E-9	
3.273E+1	2.395E+0	3.236E-9	
3.303E+1	2.355E+0	2.852E-9	
3.332E+1	2.314E+0	2.455E-9	
3.363E+1	2.274E+0	2.084E-9	
3.392E+1	2.234E+0	1.984E-9	
3.422E+1	2.194E+0	1.912E-9	
3.453E+1	2.153E+0	1.793E-9	
3.482E+1	2.113E+0	1.730E-9	
3.513E+1	2.073E+0	1.535E-9	
3.543E+1	2.033E+0	1.469E-9	
3.573E+1	1.992E+0	1.273E-9	
3.602E+1	1.952E+0	1.229E-9	
3.632E+1	1.912E+0	1.165E-9	
3.663E+1	1.872E+0	1.064E-9	
3.767E+1	1.831E+0	9.278E-10	
3.856E+1	1.791E+0	9.795E-10	
3.948E+1	1.751E+0	8.823E-10	
4.036E+1	1.711E+0	9.659E-10	
4.127E+1	1.670E+0	8.067E-10	
4.216E+1	1.630E+0	7.167E-10	
4.307E+1	1.590E+0	7.022E-10	
4.397E+1	1.550E+0	6.050E-10	
4.473E+1	1.509E+0	9.870E-10	
4.502E+1	1.469E+0	8.931E-10	
4.533E+1	1.429E+0	8.707E-10	
4.562E+1	1.389E+0	7.724E-10	
4.593E+1	1.348E+0	7.292E-10	
4.622E+1	1.308E+0	6.715E-10	
4.652E+1	1.268E+0	4.484E-10	
4.682E+1	1.228E+0	5.150E-10	
4.712E+1	1.187E+0	4.757E-10	
4.743E+1	1.147E+0	4.260E-10	
4.774E+1	1.107E+0	3.894E-10	
4.804E+1	1.067E+0	3.024E-10	
4.833E+1	1.026E+0	2.700E-10	
4.862E+1	9.862E-1	2.458E-10	
4.892E+1	9.459E-1	1.430E-10	
4.922E+1	9.057E-1	1.113E-10	
5.012E+1	8.654E-1	2.011E-11	
5.042E+1	8.252E-1	3.301E-12	
5.072E+1	7.849E-1	1.132E-13	
5.102E+1	7.447E-1	-3.257E-12	
5.133E+1	7.044E-1	-5.309E-12	
5.163E+1	6.642E-1	-9.403E-12	
5.193E+1	6.239E-1	-9.857E-12	
5.223E+1	5.836E-1	-1.500E-11	
5.252E+1	5.434E-1	-1.692E-11	
5.283E+1	5.031E-1	-1.951E-11	
5.313E+1	4.629E-1	-2.129E-11	
5.342E+1	4.226E-1	-2.265E-11	
5.373E+1	3.824E-1	-2.184E-11	
5.402E+1	3.421E-1	-2.361E-11	
5.433E+1	3.019E-1	-2.367E-11	
5.462E+1	2.616E-1	-2.525E-11	
5.493E+1	2.214E-1	-2.497E-11	
5.522E+1	1.811E-1	-3.221E-11	
5.553E+1	1.409E-1	-2.745E-11	
5.583E+1	1.006E-1	-2.812E-11	
5.612E+1	6.038E-2	-2.825E-11	
5.642E+1	2.013E-2	-3.055E-11	
5.673E+1	-2.013E-2	-2.764E-11	
5.702E+1	-6.038E-2	-2.872E-11	
5.732E+1	-1.006E-1	-2.962E-11	
5.764E+1	-1.409E-1	-3.044E-11	
5.793E+1	-1.811E-1	-2.996E-11	
5.822E+1	-2.214E-1	-3.293E-11	
5.852E+1	-2.616E-1	-3.126E-11	
5.883E+1	-3.019E-1	-3.222E-11	
5.913E+1	-3.421E-1	-3.276E-11	
5.943E+1	-3.824E-1	-3.227E-11	
5.975E+1	-4.226E-1	-3.181E-11	
6.002E+1	-4.629E-1	-3.513E-11	
6.032E+1	-5.031E-1	-3.276E-11	
6.063E+1	-5.434E-1	-3.477E-11	
6.092E+1	-5.836E-1	-3.852E-11	
6.122E+1	-6.239E-1	-3.699E-11	
6.154E+1	-6.642E-1	-1.336E-11	
6.183E+1	-7.044E-1	-3.601E-11	
6.215E+1	-7.447E-1	-3.905E-11	
6.242E+1	-7.849E-1	-3.922E-11	
6.272E+1	-8.252E-1	-3.790E-11	
6.303E+1	-8.654E-1	-4.061E-11	
6.332E+1	-9.057E-1	-4.184E-11	
6.363E+1	-9.459E-1	-4.204E-11	
6.392E+1	-9.862E-1	-4.406E-11	
6.422E+1	-1.026E+0	-4.379E-11	
6.455E+1	-1.067E+0	-4.588E-11	
6.482E+1	-1.107E+0	-5.407E-11	
6.512E+1	-1.147E+0	-5.188E-11	
6.542E+1	-1.187E+0	-5.748E-11	
6.572E+1	-1.228E+0	-5.626E-11	
6.603E+1	-1.268E+0	-5.571E-11	
6.633E+1	-1.308E+0	-5.243E-11	
6.662E+1	-1.348E+0	-5.338E-11	
6.692E+1	-1.389E+0	-5.857E-11	
6.722E+1	-1.429E+0	-6.527E-11	
6.752E+1	-1.469E+0	-6.855E-11	
6.782E+1	-1.509E+0	-6.565E-11	
6.813E+1	-1.550E+0	-6.404E-11	
6.842E+1	-1.590E+0	-6.796E-11	
6.873E+1	-1.630E+0	-8.384E-11	
6.902E+1	-1.670E+0	-8.166E-11	
6.932E+1	-1.711E+0	-8.658E-11	
6.963E+1	-1.751E+0	-8.822E-11	
6.994E+1	-1.791E+0	-9.005E-11	
7.023E+1	-1.831E+0	-9.409E-11	
7.052E+1	-1.872E+0	-9.327E-11	
7.082E+1	-1.912E+0	-9.409E-11	
7.113E+1	-1.952E+0	-9.026E-11	
7.202E+1	-1.992E+0	-2.879E-10	
7.233E+1	-2.033E+0	-3.807E-10	
7.262E+1	-2.073E+0	-4.759E-10	
7.294E+1	-2.113E+0	-4.936E-10	
7.322E+1	-2.153E+0	-6.027E-10	
7.353E+1	-2.194E+0	-5.919E-10	
7.382E+1	-2.234E+0	-5.658E-10	
7.412E+1	-2.274E+0	-7.308E-10	
7.442E+1	-2.314E+0	-7.033E-10	
7.472E+1	-2.355E+0	-7.368E-10	
7.502E+1	-2.395E+0	-7.339E-10	
7.533E+1	-2.435E+0	-8.594E-10	
7.578E+1	-2.475E+0	-6.368E-10	
7.654E+1	-2.516E+0	-8.721E-10	
7.697E+1	-2.556E+0	-1.136E-9	
7.712E+1	-2.596E+0	-1.986E-9	
7.742E+1	-2.636E+0	-1.470E-9	
7.772E+1	-2.677E+0	-1.849E-9	
7.802E+1	-2.717E+0	-1.575E-9	
7.833E+1	-2.757E+0	-1.442E-9	
7.862E+1	-2.797E+0	-2.082E-9	
7.893E+1	-2.838E+0	-3.147E-9	
7.924E+1	-2.878E+0	-2.756E-9	
7.952E+1	-2.918E+0	-3.063E-9	
7.985E+1	-2.958E+0	-2.910E-9	
8.013E+1	-2.999E+0	-5.655E-9	
8.042E+1	-3.039E+0	-4.934E-9	
8.072E+1	-3.079E+0	-4.801E-9	
8.103E+1	-3.119E+0	-5.254E-9	
8.133E+1	-3.160E+0	-6.950E-9	
8.162E+1	-3.200E+0	-9.528E-9	
#Sweep: 002
8.192E+1	-3.200E+0	-7.748E-9	
8.222E+1	-3.160E+0	-8.503E-9	
8.253E+1	-3.119E+0	-9.188E-9	
8.282E+1	-3.079E+0	-8.055E-9	
8.312E+1	-3.039E+0	-9.148E-9	
8.343E+1	-2.999E+0	-5.344E-9	
8.373E+1	-2.958E+0	-7.056E-9	
8.402E+1	-2.918E+0	-6.193E-9	
