Time [S]	Voltage [V]	Current [A]	
#Sweep: 000
8.047E-1	2.013E-2	-1.375E-10	
1.716E+0	6.038E-2	-9.543E-12	
2.004E+0	1.006E-1	4.390E-12	
2.305E+0	1.409E-1	4.663E-12	
2.652E+0	1.811E-1	6.166E-12	
2.912E+0	2.214E-1	9.855E-12	
3.205E+0	2.616E-1	6.713E-12	
3.512E+0	3.019E-1	6.481E-12	
3.808E+0	3.421E-1	6.030E-12	
4.117E+0	3.824E-1	5.210E-12	
4.410E+0	4.226E-1	5.620E-12	
4.726E+0	4.629E-1	6.986E-12	
5.019E+0	5.031E-1	5.486E-12	
5.307E+0	5.434E-1	9.967E-12	
5.604E+0	5.836E-1	8.768E-12	
5.908E+0	6.239E-1	6.956E-12	
6.204E+0	6.642E-1	7.150E-12	
6.521E+0	7.044E-1	8.266E-12	
6.804E+0	7.447E-1	8.600E-12	
7.104E+0	7.849E-1	7.075E-12	
7.443E+0	8.252E-1	9.008E-12	
7.721E+0	8.654E-1	1.644E-11	
8.049E+0	9.057E-1	6.090E-12	
8.304E+0	9.459E-1	1.806E-11	
8.615E+0	9.862E-1	1.532E-11	
8.921E+0	1.026E+0	1.259E-11	
9.205E+0	1.067E+0	9.277E-12	
9.518E+0	1.107E+0	7.536E-12	
9.815E+0	1.147E+0	9.038E-12	
1.013E+1	1.187E+0	1.040E-11	
1.041E+1	1.228E+0	1.081E-11	
1.070E+1	1.268E+0	8.082E-12	
1.101E+1	1.308E+0	9.312E-12	
1.132E+1	1.348E+0	8.355E-12	
1.161E+1	1.389E+0	9.995E-12	
1.192E+1	1.429E+0	1.327E-11	
1.220E+1	1.469E+0	9.858E-12	
1.252E+1	1.509E+0	9.312E-12	
1.280E+1	1.550E+0	9.312E-12	
1.310E+1	1.590E+0	9.039E-12	
1.341E+1	1.630E+0	1.027E-11	
1.371E+1	1.670E+0	7.532E-12	
1.400E+1	1.711E+0	1.273E-11	
1.432E+1	1.751E+0	1.423E-11	
1.460E+1	1.791E+0	1.382E-11	
1.492E+1	1.831E+0	1.150E-11	
1.521E+1	1.872E+0	1.669E-11	
1.550E+1	1.912E+0	2.393E-11	
1.580E+1	1.952E+0	1.751E-11	
1.610E+1	1.992E+0	1.587E-11	
1.640E+1	2.033E+0	1.915E-11	
1.671E+1	2.073E+0	2.284E-11	
1.701E+1	2.113E+0	1.806E-11	
1.732E+1	2.153E+0	1.901E-11	
1.762E+1	2.194E+0	4.278E-11	
1.791E+1	2.234E+0	3.500E-11	
1.820E+1	2.274E+0	3.773E-11	
1.851E+1	2.314E+0	4.483E-11	
1.881E+1	2.355E+0	5.440E-11	
1.911E+1	2.395E+0	6.191E-11	
1.940E+1	2.435E+0	8.186E-11	
2.030E+1	2.475E+0	5.074E-10	
2.060E+1	2.516E+0	8.503E-10	
2.105E+1	2.556E+0	5.372E-10	
2.195E+1	2.596E+0	9.657E-10	
2.211E+1	2.636E+0	1.197E-9	
2.243E+1	2.677E+0	4.819E-9	
2.272E+1	2.717E+0	1.596E-9	
2.300E+1	2.757E+0	1.718E-9	
2.355E+1	2.797E+0	2.386E-7	
2.391E+1	2.838E+0	4.810E-7	
2.446E+1	2.878E+0	4.449E-7	
2.482E+1	2.918E+0	1.415E-7	
2.525E+1	2.958E+0	9.549E-8	
2.551E+1	2.999E+0	1.036E-7	
2.596E+1	3.039E+0	1.049E-7	
2.632E+1	3.079E+0	6.502E-7	
2.670E+1	3.119E+0	7.523E-6	
2.720E+1	3.160E+0	1.000E-2	
2.752E+1	3.200E+0	1.000E-2	
#Sweep: 001
2.781E+1	3.200E+0	1.000E-2	
2.810E+1	3.160E+0	1.000E-2	
2.841E+1	3.119E+0	1.000E-2	
2.870E+1	3.079E+0	1.000E-2	
2.901E+1	3.039E+0	1.000E-2	
2.932E+1	2.999E+0	1.000E-2	
2.961E+1	2.958E+0	1.000E-2	
2.992E+1	2.918E+0	1.000E-2	
3.020E+1	2.878E+0	1.000E-2	
3.051E+1	2.838E+0	1.000E-2	
3.081E+1	2.797E+0	1.000E-2	
3.110E+1	2.757E+0	1.000E-2	
3.141E+1	2.717E+0	1.000E-2	
3.172E+1	2.677E+0	1.000E-2	
3.201E+1	2.636E+0	1.000E-2	
3.232E+1	2.596E+0	9.905E-3	
3.260E+1	2.556E+0	9.429E-3	
3.292E+1	2.516E+0	8.963E-3	
3.321E+1	2.475E+0	8.592E-3	
3.351E+1	2.435E+0	8.089E-3	
3.381E+1	2.395E+0	7.407E-3	
3.412E+1	2.355E+0	7.190E-3	
3.440E+1	2.314E+0	6.941E-3	
3.472E+1	2.274E+0	6.645E-3	
3.500E+1	2.234E+0	6.403E-3	
3.530E+1	2.194E+0	6.132E-3	
3.560E+1	2.153E+0	5.767E-3	
3.593E+1	2.113E+0	5.421E-3	
3.621E+1	2.073E+0	5.150E-3	
3.651E+1	2.033E+0	4.845E-3	
3.681E+1	1.992E+0	4.469E-3	
3.712E+1	1.952E+0	3.953E-3	
3.740E+1	1.912E+0	4.245E-3	
3.770E+1	1.872E+0	4.081E-3	
3.801E+1	1.831E+0	3.919E-3	
3.830E+1	1.791E+0	3.763E-3	
3.860E+1	1.751E+0	3.611E-3	
3.891E+1	1.711E+0	3.462E-3	
3.921E+1	1.670E+0	3.313E-3	
3.952E+1	1.630E+0	3.173E-3	
3.980E+1	1.590E+0	3.028E-3	
4.012E+1	1.550E+0	2.881E-3	
4.040E+1	1.509E+0	2.694E-3	
4.072E+1	1.469E+0	2.562E-3	
4.101E+1	1.429E+0	2.435E-3	
4.132E+1	1.389E+0	2.311E-3	
4.161E+1	1.348E+0	2.189E-3	
4.190E+1	1.308E+0	2.069E-3	
4.220E+1	1.268E+0	1.953E-3	
4.250E+1	1.228E+0	1.838E-3	
4.280E+1	1.187E+0	1.726E-3	
4.310E+1	1.147E+0	1.619E-3	
4.341E+1	1.107E+0	1.514E-3	
4.371E+1	1.067E+0	1.413E-3	
4.400E+1	1.026E+0	1.316E-3	
4.431E+1	9.862E-1	1.221E-3	
4.462E+1	9.459E-1	1.131E-3	
4.491E+1	9.057E-1	1.044E-3	
4.532E+1	8.654E-1	9.594E-4	
4.551E+1	8.252E-1	8.806E-4	
4.581E+1	7.849E-1	8.040E-4	
4.610E+1	7.447E-1	7.316E-4	
4.640E+1	7.044E-1	6.629E-4	
4.670E+1	6.642E-1	5.980E-4	
4.700E+1	6.239E-1	5.368E-4	
4.732E+1	5.836E-1	4.784E-4	
4.760E+1	5.434E-1	4.243E-4	
4.792E+1	5.031E-1	3.729E-4	
4.820E+1	4.629E-1	3.257E-4	
4.851E+1	4.226E-1	2.822E-4	
4.880E+1	3.824E-1	2.429E-4	
4.912E+1	3.421E-1	2.067E-4	
4.940E+1	3.019E-1	1.732E-4	
4.972E+1	2.616E-1	1.427E-4	
5.000E+1	2.214E-1	1.153E-4	
5.041E+1	1.811E-1	9.032E-5	
5.060E+1	1.409E-1	6.784E-5	
5.090E+1	1.006E-1	4.702E-5	
5.121E+1	6.038E-2	2.774E-5	
5.161E+1	2.013E-2	9.171E-6	
5.180E+1	-2.013E-2	-9.408E-6	
5.221E+1	-6.038E-2	-3.019E-5	
5.240E+1	-1.006E-1	-5.417E-5	
5.272E+1	-1.409E-1	-7.971E-5	
5.312E+1	-1.811E-1	-1.072E-4	
5.332E+1	-2.214E-1	-1.373E-4	
5.362E+1	-2.616E-1	-1.701E-4	
5.392E+1	-3.019E-1	-2.048E-4	
5.420E+1	-3.421E-1	-2.430E-4	
5.450E+1	-3.824E-1	-2.838E-4	
5.480E+1	-4.226E-1	-3.288E-4	
5.510E+1	-4.629E-1	-3.747E-4	
5.540E+1	-5.031E-1	-4.242E-4	
5.572E+1	-5.434E-1	-4.769E-4	
5.600E+1	-5.836E-1	-5.315E-4	
5.632E+1	-6.239E-1	-5.896E-4	
5.661E+1	-6.642E-1	-6.509E-4	
5.692E+1	-7.044E-1	-7.106E-4	
5.722E+1	-7.447E-1	-7.461E-4	
5.752E+1	-7.849E-1	-8.075E-4	
5.782E+1	-8.252E-1	-8.694E-4	
5.812E+1	-8.654E-1	-9.334E-4	
5.841E+1	-9.057E-1	-9.989E-4	
5.880E+1	-9.459E-1	-1.005E-3	
5.902E+1	-9.862E-1	-1.070E-3	
5.932E+1	-1.026E+0	-1.130E-3	
5.962E+1	-1.067E+0	-1.180E-3	
5.992E+1	-1.107E+0	-1.229E-3	
6.020E+1	-1.147E+0	-1.296E-3	
6.075E+1	-1.187E+0	-1.543E-9	
6.112E+1	-1.228E+0	-1.207E-9	
6.140E+1	-1.268E+0	-1.382E-9	
6.170E+1	-1.308E+0	-1.656E-9	
6.201E+1	-1.348E+0	-2.060E-9	
6.232E+1	-1.389E+0	-1.591E-9	
6.262E+1	-1.429E+0	-4.976E-9	
6.290E+1	-1.469E+0	-1.827E-9	
6.320E+1	-1.509E+0	-2.246E-9	
6.352E+1	-1.550E+0	-2.213E-9	
6.380E+1	-1.590E+0	-2.386E-9	
6.412E+1	-1.630E+0	-2.842E-9	
6.440E+1	-1.670E+0	-2.635E-9	
6.472E+1	-1.711E+0	-3.106E-9	
6.501E+1	-1.751E+0	-3.312E-9	
6.532E+1	-1.791E+0	-4.588E-9	
6.561E+1	-1.831E+0	-5.899E-9	
6.592E+1	-1.872E+0	-5.234E-9	
6.621E+1	-1.912E+0	-5.188E-9	
6.650E+1	-1.952E+0	-8.572E-9	
6.680E+1	-1.992E+0	-6.110E-9	
6.711E+1	-2.033E+0	-7.124E-9	
6.740E+1	-2.073E+0	-7.315E-9	
6.772E+1	-2.113E+0	-8.237E-9	
6.817E+1	-2.153E+0	-1.591E-8	
6.831E+1	-2.194E+0	-1.394E-8	
6.862E+1	-2.234E+0	-1.648E-8	
6.890E+1	-2.274E+0	-1.427E-8	
6.920E+1	-2.314E+0	-2.116E-8	
6.952E+1	-2.355E+0	-3.563E-8	
6.996E+1	-2.395E+0	-5.175E-9	
7.012E+1	-2.435E+0	-6.144E-9	
7.040E+1	-2.475E+0	-6.607E-9	
7.071E+1	-2.516E+0	-6.798E-9	
7.100E+1	-2.556E+0	-8.746E-9	
7.130E+1	-2.596E+0	-9.119E-9	
7.161E+1	-2.636E+0	-9.019E-9	
7.192E+1	-2.677E+0	-9.623E-9	
7.221E+1	-2.717E+0	-9.702E-9	
7.252E+1	-2.757E+0	-9.888E-9	
7.296E+1	-2.797E+0	-1.483E-8	
7.311E+1	-2.838E+0	-1.587E-8	
7.340E+1	-2.878E+0	-2.113E-8	
7.370E+1	-2.918E+0	-2.396E-8	
7.401E+1	-2.958E+0	-2.624E-8	
7.430E+1	-2.999E+0	-3.573E-8	
7.465E+1	-3.039E+0	-3.656E-8	
7.490E+1	-3.079E+0	-4.023E-8	
7.520E+1	-3.119E+0	-6.498E-8	
7.550E+1	-3.160E+0	-5.565E-8	
7.581E+1	-3.200E+0	-4.951E-8	
#Sweep: 002
7.610E+1	-3.200E+0	-4.835E-8	
7.640E+1	-3.160E+0	-4.032E-8	
7.670E+1	-3.119E+0	-4.792E-8	
7.700E+1	-3.079E+0	-4.581E-8	
7.730E+1	-3.039E+0	-3.676E-8	
7.760E+1	-2.999E+0	-3.561E-8	
7.792E+1	-2.958E+0	-2.992E-8	
7.820E+1	-2.918E+0	-2.626E-8	
7.850E+1	-2.878E+0	-2.472E-8	
7.880E+1	-2.838E+0	-2.244E-8	
